空餘屋累積量,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
新北市全區新增房屋可住人數,,,,53895.94,90168.13,136902.48,185740.08,222818.61,264045.68,308381.09
新北市全區新增人口,,,,23714,42798,65652,81276,93165,96991,105555
