成長率,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
新莊區-成長率,,1.27%,1.86%,1.95%,1.18%,1.00%,0.90%,0.83%,0.55%,0.87%,0.98%,0.50%,0.64%,0.34%,0.47%,0.72%,0.68%,0.48%,0.37%,0.22%,0.16%
