成長率%,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 桃園市 ,,0.022616077,0.024414531,0.024433983,0.017514546,0.016812605,0.016440896,0.016988324,0.01472562,0.016404158,0.012456826,0.012257567,0.01025994,0.011763802,0.005616715,0.008372303,0.00682803,0.006998454,0.023053663,0.01993703
新北市,,0.011135393,0.015119597,0.016229093,0.011871422,0.008640394,0.009635458,0.008585806,0.007706914,0.008140388,0.008207916,0.009403596,0.010413618,0.00612187,0.004896639,0.005835385,0.003966182,0.003006122,0.000964501,0.002156829
