總人口（人）,年份,,,,,,,,,,,,,,,,,,,
,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
,"9,753","9,879","10,584","11,500","12,457","10,000","6,800","16,000","11,100","9,863","9,563","9,768","9,802","9,802","9,732","10,005","11,248","11,281","13,032","14,354"
