整體開發及週邊地區 ,房屋稅籍 住宅類數量 ,房屋稅籍 住宅類數量 (5 年內) ,低度使用 (用電)住宅宅數,低度使用 (用電)住宅 比率 (%) ,低度使用 用電)住宅 宅數 (5 年內) ,低度使用 (用電)住宅 比率(5 年內) (%) 
淡海新市鎮 ,"17,251","9,719","4,767",27.6,"3,729",38.4
新莊副都市中心市地重劃區 ,"2,953","1,833","1,025",34.7,953,52
