%新北總人口,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
三峽區,2.24%,2.28%,2.31%,2.32%,2.33%,2.34%,2.34%,2.35%,2.38%,2.43%,2.50%,2.56%,2.60%,2.65%,2.70%,2.74%,2.78%,2.81%,2.84%,2.87%,2.87%
新莊區,10.35%,10.36%,10.40%,10.43%,10.43%,10.44%,10.44%,10.44%,10.41%,10.42%,10.44%,10.39%,10.35%,10.32%,10.32%,10.33%,10.36%,10.38%,10.41%,10.41%,10.42%
林口區,1.38%,1.40%,1.43%,1.44%,1.46%,1.48%,1.49%,1.52%,1.57%,1.65%,1.77%,1.90%,2.03%,2.13%,2.21%,2.28%,2.38%,2.46%,2.53%,2.59%,2.61%
淡水區,3.09%,3.14%,3.19%,3.25%,3.31%,3.33%,3.36%,3.40%,3.43%,3.45%,3.48%,3.53%,3.62%,3.68%,3.75%,3.83%,3.93%,4.01%,4.09%,4.17%,4.19%
